,Count,Year
1979,13,1979
1980,19,1980
1981,17,1981
1982,36,1982
1983,35,1983
1984,45,1984
1985,56,1985
1986,48,1986
1987,63,1987
1988,58,1988
1989,85,1989
1990,63,1990
1991,39,1991
1992,38,1992
1993,41,1993
1994,29,1994
1995,39,1995
1996,41,1996
1997,48,1997
1998,17,1998
1999,29,1999
2000,47,2000
2001,37,2001
2002,46,2002
2003,43,2003
2004,30,2004
2005,30,2005
2006,47,2006
2007,40,2007
2008,34,2008
2009,30,2009
2010,36,2010
2011,27,2011
2012,38,2012
2013,47,2013
2014,48,2014
2015,61,2015
2016,98,2016
2017,124,2017
2018,119,2018
2019,149,2019
2020,54,2020
